id,date,SP,DATE,HAA,label_fnn
1678,2010-04-11T16:37:40-04:00,Barack Obama,2010,Barack Obama,real
1820,2010-05-23T18:11:09-04:00,Michael Steele,2010,Michael Steele,real
1624,2010-03-26T10:24:21-04:00,John Boehner,2010,John Boehner,real
1576,2010-03-12T11:45:14-05:00,Americas Health Insurance Plans,2010,Americas Health Insurance Plans,real
1770,2010-05-07T11:54:44-04:00,Michael Bloomberg,2010,Michael Bloomberg,real
1779,2010-05-10T18:24:15-04:00,John Barrasso,2010,John Barrasso,real
1690,2010-04-14T19:54:17-04:00,Stephen Colbert,2010,Stephen Colbert,real
2013,2010-07-07T17:12:21-04:00,Al Hunt,2010,Al Hunt,real
1731,2010-04-27T15:33:45-04:00,Sherrod Brown,2010,Sherrod Brown,real
1435,2010-01-28T00:02:13-05:00,Barack Obama,2010,Barack Obama,real
2019,2010-07-09T13:55:36-04:00,Sarah Palin,2010,Sarah Palin,real
1375,2010-01-06T15:29:03-05:00,Chuck Grassley,2010,Chuck Grassley,real
1949,2010-06-24T16:12:26-04:00,Vern Buchanan,2010,Vern Buchanan,real
1467,2010-02-05T18:31:24-05:00,Judd Gregg,2010,Judd Gregg,real
1545,2010-03-03T18:15:17-05:00,Mitt Romney,2010,Mitt Romney,real
1488,2010-02-16T18:56:19-05:00,Joe Biden,2010,Joe Biden,real
1892,2010-06-14T15:26:55-04:00,John Boehner,2010,John Boehner,real
1442,2010-01-28T18:00:16-05:00,John Boehner,2010,John Boehner,real
1825,2010-05-25T17:18:46-04:00,Michael Steele,2010,Michael Steele,real
1424,2010-01-25T18:50:42-05:00,John Boehner,2010,John Boehner,real
914,2009-01-26T15:35:16-05:00,Joe Barton,2009,Joe Barton,real
1436,2010-01-28T10:47:42-05:00,Bob McDonnell,2010,Bob McDonnell,real
1614,2010-03-24T16:28:45-04:00,Orrin Hatch,2010,Orrin Hatch,real
1419,2010-01-25T15:15:55-05:00,Carolyn Maloney,2010,Carolyn Maloney,real
31,2007-05-02T00:00:00-04:00,Tommy Thompson,2007,Tommy Thompson,real
35,2007-08-27T00:00:00-04:00,Joe Biden,2007,Joe Biden,real
1500,2010-02-19T17:36:57-05:00,John Boehner,2010,John Boehner,real
923,2009-02-03T16:17:25-05:00,Mitch McConnell,2009,Mitch McConnell,real
1454,2010-02-02T19:22:09-05:00,David Axelrod,2010,David Axelrod,real
58,2007-09-10T00:00:00-04:00,Hillary Clinton,2007,Hillary Clinton,real
1899,2010-06-15T11:02:40-04:00,John McCain,2010,John McCain,real
261,2008-01-06T00:00:00-05:00,Hillary Clinton,2008,Hillary Clinton,real
1465,2010-02-05T17:17:37-05:00,Barack Obama,2010,Barack Obama,real
74,2007-09-15T00:00:00-04:00,Hillary Clinton,2007,Hillary Clinton,real
20,2007-07-10T00:00:00-04:00,Sam Brownback,2007,Sam Brownback,real
15352,2018-05-04T11:30:20-04:00,Daily World  Update,2018,Daily World Update,fake
15383,2018-05-15T15:31:57-04:00,Bloggers,2018,Bloggers,fake
14879,2017-12-28T12:13:22-05:00,defense usasite,2017,defense usasite,fake
120,2007-10-15T00:00:00-04:00,Joe Biden,2007,Joe Biden,real
13560,2016-12-21T10:41:13-05:00,Politiconocom,2016,Politiconocom,fake
118,2007-10-12T00:00:00-04:00,John McCain,2007,John McCain,real
7,2007-08-01T00:00:00-04:00,Hillary Clinton,2007,Hillary Clinton,real
14597,2017-10-03T16:17:39-04:00,Bloggers,2017,Bloggers,fake
15349,2018-05-04T14:00:00-04:00,The Liberty Raise,2018,The Liberty Raise,fake
14233,2017-06-19T16:59:41-04:00,Bloggers,2017,Bloggers,fake
69,2007-09-17T00:00:00-04:00,Ron Paul,2007,Ron Paul,real
14699,2017-11-01T16:12:07-04:00,BreakingNews247net,2017,BreakingNews247net,fake
1446,2010-01-29T18:23:13-05:00,Bloggers,2010,Bloggers,real
14885,2018-01-02T16:35:45-05:00,Tom Price,2018,Tom Price,fake
15327,2018-04-30T13:58:51-04:00,Musclecarusainfo,2018,Musclecarusainfo,fake
15129,2018-03-12T15:38:06-04:00,Bloggers,2018,Bloggers,fake
15130,2018-03-14T12:49:53-04:00,Universal News Portal,2018,Universal News Portal,fake
15138,2018-03-14T16:37:35-04:00,Ladies of Liberty,2018,Ladies of Liberty,fake
14498,2017-09-06T15:20:44-04:00,delta flyinginfo,2017,delta flyinginfo,fake
15201,2018-03-29T16:11:59-04:00,Bloggers,2018,Bloggers,fake
14289,2017-07-06T10:00:00-04:00,What Happens in the USA,2017,What Happens in the USA,fake
14514,2017-09-11T11:35:21-04:00,Bloggers,2017,Bloggers,fake
14517,2017-09-11T15:30:48-04:00,Bloggers,2017,Bloggers,fake
15208,2018-03-30T11:18:46-04:00,TheLastLineOfDefenseorg,2018,TheLastLineOfDefenseorg,fake
14490,2017-09-01T13:40:58-04:00,Bloggers,2017,Bloggers,fake
14624,2017-10-11T16:09:59-04:00,Bloggers,2017,Bloggers,fake
15242,2018-04-09T17:40:14-04:00,Bloggers,2018,Bloggers,fake
15046,2018-02-16T14:52:53-05:00,Politics Elite Trump,2018,Politics Elite Trump,fake
14395,2017-08-04T13:50:28-04:00,usdeplorablesnewscom,2017,usdeplorablesnewscom,fake
14836,2017-12-12T11:24:56-05:00,Bloggers,2017,Bloggers,fake
15356,2018-05-07T14:26:00-04:00,HoustonChronicle tvcom,2018,HoustonChronicle tvcom,fake
14860,2017-12-19T10:00:00-05:00,The Patriot Report,2017,The Patriot Report,fake
13764,2017-02-20T16:29:56-05:00,The Miami Post,2017,The Miami Post,fake
14733,2017-11-10T09:00:00-05:00,tmzbreaking,2017,tmzbreaking,fake
14195,2017-06-07T11:30:04-04:00,Bloggers,2017,Bloggers,fake
13854,2017-03-13T14:00:25-04:00,Bloggers,2017,Bloggers,fake
15623,2018-07-18T15:10:38-04:00,Daily USA Update,2018,Daily USA Update,fake
14643,2017-10-17T16:32:54-04:00,Bloggers,2017,Bloggers,fake
