anger,fear,trust,negative,positive,label_fnn
5,7,19,14,24,real
5,2,19,10,26,real
3,5,16,10,21,real
4,4,20,11,27,real
11,18,20,26,20,real
12,10,26,22,37,real
1,4,10,5,14,real
7,5,13,9,20,real
3,3,18,10,27,real
0,0,10,3,16,real
1,1,5,3,9,real
2,1,9,10,13,real
1,1,6,8,10,real
7,4,23,15,25,real
2,7,20,13,22,real
17,22,25,29,36,real
4,2,17,11,10,real
5,8,19,17,26,real
16,13,25,26,39,real
10,8,31,19,43,real
10,10,21,22,30,real
1,3,5,4,14,real
4,6,20,9,22,real
12,11,30,29,49,real
0,0,7,2,9,real
2,3,3,3,3,real
5,11,17,15,33,real
1,1,10,4,9,real
5,12,25,28,49,real
0,3,2,4,4,real
4,4,22,16,20,real
2,2,10,4,15,real
13,14,42,25,56,real
0,1,3,1,5,real
3,7,3,8,6,real
3,5,3,6,3,fake
6,4,3,10,7,fake
4,3,6,4,10,fake
1,1,4,2,4,real
1,0,13,9,16,fake
1,2,5,5,5,real
0,2,4,3,6,real
2,3,13,9,9,fake
4,1,7,7,10,fake
1,2,11,7,14,fake
11,8,5,12,4,real
4,3,4,8,5,fake
4,4,12,6,15,real
1,3,2,8,9,fake
1,1,9,2,11,fake
5,3,6,9,8,fake
5,3,7,10,9,fake
2,4,7,4,10,fake
3,3,8,10,8,fake
6,5,9,11,10,fake
3,2,3,9,8,fake
6,7,7,12,10,fake
0,4,4,7,3,fake
3,4,3,8,3,fake
1,3,8,6,8,fake
1,3,7,5,7,fake
4,2,7,6,9,fake
6,6,4,9,6,fake
6,9,8,13,9,fake
5,5,22,10,24,fake
3,5,8,5,12,fake
9,10,3,12,4,fake
2,3,6,8,7,fake
4,3,6,5,11,fake
5,7,6,8,5,fake
2,3,3,8,8,fake
2,2,9,5,11,fake
4,4,10,5,13,fake
3,5,7,10,10,fake
4,4,9,13,9,fake
6,6,9,5,12,fake
4,10,8,12,6,fake
5,5,7,7,10,fake
3,4,4,4,8,fake
2,3,0,8,2,fake
9,8,8,13,14,fake
7,7,8,7,11,fake
7,8,11,10,13,fake
5,5,12,7,14,fake
3,4,8,10,10,fake
7,6,7,15,8,fake
17,21,38,25,41,real
7,7,12,16,12,fake
5,5,5,9,8,fake
7,4,9,10,11,fake
5,8,5,12,7,fake
0,1,7,1,7,real
6,7,11,13,16,real
1,0,11,3,10,fake
0,0,8,0,14,real
6,7,17,12,17,fake
3,3,9,7,11,fake
6,7,10,9,12,fake
10,5,9,14,14,fake
0,0,5,2,10,fake
4,6,13,6,13,fake
3,1,8,8,18,fake
7,7,13,11,11,fake
2,5,7,11,9,fake
3,5,6,9,7,fake
4,2,9,6,12,fake
5,7,12,11,13,fake
5,5,11,6,12,fake
5,5,12,9,15,fake
7,5,10,9,10,fake
2,5,10,8,15,fake
1,2,2,3,4,real
0,2,4,3,6,real
1,0,7,2,6,real
3,3,9,6,13,fake
10,11,8,14,17,real
3,7,15,10,15,real
11,12,5,15,5,fake
6,8,5,11,10,fake
5,3,12,6,16,fake
4,3,9,10,10,fake
4,5,12,8,16,real
4,3,10,10,14,fake
3,4,9,8,13,fake
1,1,11,7,16,fake
5,5,10,13,10,fake
6,5,9,11,15,fake
1,4,13,11,16,fake
2,1,3,4,6,fake
6,8,14,13,21,fake
2,3,8,4,7,fake
7,7,11,13,12,fake
4,3,7,6,11,fake
9,8,12,20,19,fake
4,3,8,6,7,fake
3,8,9,13,8,fake
8,5,11,13,14,fake
1,0,5,4,4,fake
7,9,8,19,10,fake
4,2,7,8,15,fake
4,6,8,10,11,fake
4,3,9,7,20,fake
1,2,14,5,16,fake
5,14,23,13,20,fake
3,6,2,11,4,fake
4,6,12,9,22,fake
1,3,13,3,21,fake
7,10,14,16,14,fake
4,5,10,12,12,fake
3,4,10,9,15,fake
11,9,12,11,14,fake
9,6,10,15,14,fake
2,6,18,11,22,fake
5,3,14,12,18,fake
3,6,11,6,10,fake
5,8,11,11,19,fake
3,3,15,9,17,fake
6,7,11,9,11,fake
10,12,9,20,15,fake
5,7,8,9,12,fake
11,10,6,20,8,fake
6,11,7,15,14,fake
5,3,9,12,12,fake
2,5,6,10,9,real
2,2,5,8,11,fake
6,7,12,12,16,fake
6,4,8,9,10,real
10,15,5,19,9,fake
11,7,15,12,13,fake
1,2,7,5,9,fake
5,10,10,16,14,fake
6,8,6,17,13,fake
8,7,14,14,16,fake
4,4,5,7,16,fake
3,5,6,9,10,fake
3,4,9,10,9,real
1,3,10,9,16,fake
3,3,7,8,8,fake
5,6,17,15,18,real
8,8,18,15,22,real
3,4,7,7,9,fake
4,2,13,10,14,fake
3,4,10,12,17,fake
4,2,8,6,14,fake
5,6,10,13,18,fake
7,6,16,15,9,fake
1,5,12,6,14,fake
7,6,8,11,20,fake
2,1,11,10,17,fake
4,3,16,8,21,fake
10,12,9,15,12,fake
7,6,10,10,14,fake
5,4,9,6,12,fake
7,7,10,9,12,fake
6,9,5,10,10,fake
8,6,12,11,17,fake
6,8,14,13,16,fake
7,7,12,14,16,real
4,3,7,6,8,fake
1,4,11,4,19,fake
7,3,11,14,13,fake
8,11,10,16,14,fake
8,7,14,13,20,fake
3,15,17,17,19,real
0,2,10,3,14,fake
5,9,13,16,13,fake
5,10,2,12,14,fake
5,6,12,14,15,fake
3,6,12,4,14,fake
1,3,11,4,15,real
3,2,9,4,15,fake
4,4,8,5,11,fake
1,3,6,4,8,fake
10,10,5,15,9,fake
8,13,14,18,14,fake
4,3,6,11,10,fake
4,3,7,7,8,real
9,13,18,18,19,fake
11,8,12,16,15,fake
6,2,15,17,19,fake
4,8,17,11,19,real
3,3,7,4,7,real
6,7,11,10,12,fake
3,5,9,8,18,fake
11,8,8,12,10,fake
6,8,8,14,14,fake
2,4,15,6,24,fake
3,4,4,5,10,fake
